date,uptime_rate,throughput_per_hr,downtime_min,defect_rate_pct,energy_kwh,profit_yen
2025-07-20,82.05,101.2,60.0,4.8,4043.0,11138108
2025-07-21,82.04,99.8,60.0,4.55,3780.0,11324417
2025-07-22,82.1,101.9,60.0,4.35,4066.0,11021368
2025-07-23,82.25,99.8,60.0,4.88,4122.0,11098229
2025-07-24,82.23,100.7,60.0,4.59,3988.0,11166479
2025-07-25,82.21,104.0,60.0,4.4,4233.0,10987634
2025-07-26,82.36,102.5,60.0,4.62,3824.0,11094867
2025-07-27,82.44,101.7,60.0,4.48,3747.0,11042374
2025-07-28,82.39,101.8,60.0,5.31,3668.0,11061184
2025-07-29,82.45,101.0,60.0,5.07,4153.0,10877984
2025-07-30,82.4,98.7,60.0,4.81,4008.0,11009576
2025-07-31,82.36,98.8,60.0,5.26,3902.0,11105508
2025-08-01,82.38,97.2,60.0,4.83,3940.0,11277016
2025-08-02,82.19,97.9,60.0,4.57,3735.0,11187166
2025-08-03,82.02,96.6,60.0,5.3,4259.0,11409399
2025-08-04,81.96,98.9,60.0,5.0,3930.0,10853191
2025-08-05,81.86,97.7,60.0,4.54,3918.0,11167026
2025-08-06,81.89,97.2,60.0,4.79,4007.0,11023434
2025-08-07,81.8,98.5,60.0,4.59,3980.0,11439369
2025-08-08,81.66,96.6,60.0,4.45,3926.0,10817593
2025-08-09,81.8,96.9,60.0,5.13,3777.0,10815403
2025-08-10,81.78,98.9,60.0,5.43,3982.0,10886997
2025-08-11,81.79,96.5,60.0,4.44,4174.0,10553162
2025-08-12,81.65,96.8,60.0,5.04,4096.0,10876114
2025-08-13,81.59,97.2,60.0,4.68,4136.0,10834116
2025-08-14,81.6,98.3,60.0,4.73,3830.0,11030094
2025-08-15,81.49,96.5,60.0,4.7,3743.0,11046101
2025-08-16,81.52,94.5,60.0,4.62,3857.0,11329216
2025-08-17,81.46,95.3,60.0,4.9,3891.0,11153462
2025-08-18,81.44,95.7,60.0,4.64,4050.0,10853342
2025-08-19,81.38,96.1,60.0,4.97,3635.0,10793549
2025-08-20,81.56,96.6,60.0,4.86,4122.0,11077851
2025-08-21,81.56,95.6,60.0,4.8,3861.0,10703180
2025-08-22,81.45,96.0,60.0,4.61,3824.0,11337699
2025-08-23,81.54,96.4,60.0,4.7,3739.0,11212571
2025-08-24,81.41,95.3,60.0,5.11,3634.0,10869990
2025-08-25,81.43,98.1,60.0,5.04,4028.0,10654782
2025-08-26,81.24,98.8,60.0,4.61,3922.0,11276712
2025-08-27,81.11,97.0,60.0,4.94,3703.0,10961586
2025-08-28,81.13,98.0,60.0,5.14,3710.0,11243875
2025-08-29,81.2,96.6,60.0,4.4,3842.0,10659882
2025-08-30,81.22,97.7,60.0,5.07,4152.0,10873060
2025-08-31,81.2,99.5,60.0,4.7,3877.0,11014839
2025-09-01,81.17,98.3,60.0,5.08,3681.0,11008414
2025-09-02,81.03,99.7,60.0,4.69,3881.0,10926345
2025-09-03,80.95,100.3,60.0,4.38,3882.0,11148359
2025-09-04,80.91,101.5,60.0,4.44,3528.0,10825062
2025-09-05,81.01,104.4,60.0,4.93,3947.0,11044252
2025-09-06,81.05,104.0,60.0,4.99,3918.0,11092370
2025-09-07,80.87,102.9,60.0,4.66,4048.0,11157631
2025-09-08,80.91,101.6,60.0,5.12,4210.0,11181055
2025-09-09,80.87,100.3,60.0,4.43,4092.0,10799119
2025-09-10,80.8,100.2,60.0,4.92,3881.0,10715837
2025-09-11,80.86,100.7,60.0,4.57,3760.0,11284336
2025-09-12,80.96,101.1,60.0,4.73,4315.0,11100244
2025-09-13,81.06,102.4,60.0,4.93,3948.0,10898973
2025-09-14,80.97,102.4,60.0,4.66,3941.0,11359135
2025-09-15,80.94,104.6,60.0,4.81,3953.0,11098203
2025-09-16,80.97,104.2,60.0,5.22,3983.0,11306164
2025-09-17,81.07,108.3,60.0,4.74,3965.0,11132771
2025-09-18,81.02,109.2,60.0,5.17,3908.0,11542679
2025-09-19,81.01,107.9,60.0,4.58,3901.0,11466169
2025-09-20,80.89,106.3,60.0,5.09,3966.0,11046032
2025-09-21,80.78,107.0,60.0,5.37,3895.0,11298823
2025-09-22,80.86,106.7,60.0,4.19,3867.0,11229562
2025-09-23,80.99,107.8,60.0,4.68,3998.0,11387065
2025-09-24,80.99,108.5,60.0,5.09,3950.0,10928872
2025-09-25,81.09,108.4,60.0,4.85,4213.0,11257756
2025-09-26,81.12,107.1,60.0,5.02,3579.0,11316989
2025-09-27,81.06,104.8,60.0,4.73,4122.0,10726289
2025-09-28,81.09,104.2,60.0,4.94,4140.0,10833348
2025-09-29,81.25,105.5,60.0,4.85,3653.0,10677568
2025-09-30,81.24,105.8,60.0,5.25,3915.0,11035387
