date,uptime_rate,throughput_per_hr,downtime_min,defect_rate_pct,energy_kwh,profit_yen
2025-07-20,94.95,150.0,131.0,2.68,3071.0,13106969
2025-07-21,95.0,146.9,154.0,1.4,3491.0,13245557
2025-07-22,93.86,150.0,146.0,2.72,3429.0,12693970
2025-07-23,94.04,150.0,107.0,2.25,3474.0,12553364
2025-07-24,94.11,146.0,189.0,2.81,3794.0,12729608
2025-07-25,95.0,148.1,50.0,1.8,3850.0,13481350
2025-07-26,94.44,141.8,100.0,2.38,3618.0,12815962
2025-07-27,93.43,148.7,151.0,1.78,3154.0,12865138
2025-07-28,93.7,148.1,198.0,2.24,3853.0,12751859
2025-07-29,93.21,142.7,181.0,1.59,3921.0,12720972
2025-07-30,92.38,141.2,96.0,2.46,3433.0,13108747
2025-07-31,92.28,142.2,231.0,2.12,3443.0,12600917
2025-08-01,91.95,139.2,262.0,2.25,4036.0,12101305
2025-08-02,92.22,144.0,284.0,3.07,3472.0,12823015
2025-08-03,92.14,144.9,203.0,1.52,3966.0,12896428
2025-08-04,90.95,141.5,318.0,2.28,3817.0,12304029
2025-08-05,92.17,135.2,233.0,2.34,3937.0,12524528
2025-08-06,91.45,144.8,222.0,3.04,3769.0,12340255
2025-08-07,91.14,140.8,210.0,3.48,3955.0,12275440
2025-08-08,90.84,139.5,170.0,2.83,3348.0,12497228
2025-08-09,91.59,133.4,201.0,2.76,3563.0,12740197
2025-08-10,90.49,137.3,228.0,3.62,3588.0,12898255
2025-08-11,90.29,137.2,207.0,3.32,3671.0,12776971
2025-08-12,90.53,136.8,237.0,3.15,3825.0,12394152
2025-08-13,89.96,137.6,110.0,3.77,3975.0,13000052
2025-08-14,90.14,132.8,308.0,3.31,4032.0,12534180
2025-08-15,89.58,133.2,150.0,3.0,3521.0,12533815
2025-08-16,89.36,131.8,271.0,3.99,3938.0,12542861
2025-08-17,89.72,132.8,272.0,3.58,3772.0,12473335
2025-08-18,88.88,127.5,264.0,3.13,3699.0,12073715
2025-08-19,88.25,135.2,240.0,2.98,4296.0,12588754
2025-08-20,87.86,133.2,334.0,3.5,3881.0,12636740
