id,date,title,summary,root_cause,countermeasure,product,client,tags,severity,owner,lead_time_hours,tacit_notes
1,2025/08/15,倉庫ロケミス,倉庫ロケミスが発生し対応を実施。追加工数が発生。,作業標準未確認,作業動線見直し,POP,G流通,異物;物流,Medium,製造三課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。
2,2025/09/30,糊付け不足,糊付け不足が発生し対応を実施。追加工数が発生。,センサー汚れ,湿度管理強化,ラベル,J飲料,データ,High,資材課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。
3,2025/04/11,給油不足,給油不足が発生し対応を実施。追加工数が発生。,人的ミス,二重チェック導入,カタログ,E通販,印刷;工程;異物,Medium,物流課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。
4,2025/07/04,梱包ミス,梱包ミスが発生し対応を実施。追加工数が発生。,粉塵堆積,センサー清掃頻度増加,ポスター,B食品,物流,Critical,製造二課,36,現場からのヒアリング情報を基に要因をナレッジ化予定。
5,2025/09/05,見当不良,見当不良が発生し対応を実施。追加工数が発生。,設定ミス,湿度管理強化,ラベル,C電機,異物;製本;データ,Critical,製造一課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。
6,2025/07/30,梱包ミス,梱包ミスが発生し対応を実施。追加工数が発生。,静電気,湿度管理強化,ラベル,D製薬,検査;異物,Medium,設備保全部,4,現場からのヒアリング情報を基に要因をナレッジ化予定。
7,2025/07/09,出荷誤配送,出荷誤配送が発生し対応を実施。追加工数が発生。,センサー汚れ,センサー清掃頻度増加,書籍,D製薬,製本;物流;検査,Low,物流課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。
8,2025/04/08,紙粉多発,紙粉多発が発生し対応を実施。追加工数が発生。,外注ミス,センサー清掃頻度増加,カタログ,B食品,データ,High,物流課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。
9,2025/06/24,版材キズ,版材キズが発生し対応を実施。追加工数が発生。,設定ミス,材料受入強化,チラシ,H化粧品,データ,Medium,工程管理課,36,現場からのヒアリング情報を基に要因をナレッジ化予定。
10,2025/07/14,給紙二重送り,給紙二重送りが発生し対応を実施。追加工数が発生。,外注ミス,排気改善,パッケージ箱,B食品,製本,High,物流課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。
11,2025/08/20,油圧低下,油圧低下が発生し対応を実施。追加工数が発生。,人的ミス,排気改善,POP,B食品,異物,Low,設備保全部,2,現場からのヒアリング情報を基に要因をナレッジ化予定。
