id,date,title,summary,root_cause,countermeasure,product,client,tags,severity,owner,lead_time_hours,tacit_notes,leadtime_bucket_calc,normalized_tags,summary_ja,severity_pred,leadtime_bucket
1,2025/08/15,倉庫ロケミス,倉庫ロケミスが発生し対応を実施。追加工数が発生。,作業標準未確認,作業動線見直し,POP,G流通,異物;物流,Medium,製造三課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"物流,異物",作業標準未確認が原因で倉庫ロケーションミスが発生。対策として作業動線の見直しと標準の確認・順守を徹底する。,3,8-24h
2,2025/09/30,糊付け不足,糊付け不足が発生し対応を実施。追加工数が発生。,センサー汚れ,湿度管理強化,ラベル,J飲料,データ,High,資材課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"接着,センサー,湿度,再作業,データ",糊付け不足の原因はセンサーの汚れ。対策として湿度管理を強化し再発防止を図る。,4,～8h
3,2025/04/11,給油不足,給油不足が発生し対応を実施。追加工数が発生。,人的ミス,二重チェック導入,カタログ,E通販,印刷;工程;異物,Medium,物流課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"印刷,工程,異物",給油不足は人的ミスが原因。再発防止として二重チェックを導入し、工程管理を強化。,3,8-24h
4,2025/07/04,梱包ミス,梱包ミスが発生し対応を実施。追加工数が発生。,粉塵堆積,センサー清掃頻度増加,ポスター,B食品,物流,Critical,製造二課,36,現場からのヒアリング情報を基に要因をナレッジ化予定。,24-72h,"物流,梱包,粉塵,センサー",粉塵堆積によりセンサーが誤作動して梱包ミスと追加工数が発生。センサーの清掃頻度を増やして再発防止を図る。,5,24-72h
5,2025/09/05,見当不良,見当不良が発生し対応を実施。追加工数が発生。,設定ミス,湿度管理強化,ラベル,C電機,異物;製本;データ,Critical,製造一課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。,24-72h,"異物,製本,データ",設定ミスにより見当不良が発生し追加工数が発生。湿度管理を強化して再発防止を図る。,5,24-72h
6,2025/07/30,梱包ミス,梱包ミスが発生し対応を実施。追加工数が発生。,静電気,湿度管理強化,ラベル,D製薬,検査;異物,Medium,設備保全部,4,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"梱包,検査,異物,静電気,湿度管理",梱包ミスは静電気の影響で発生。対策として湿度管理を強化し再発防止を図る。,3,～8h
7,2025/07/09,出荷誤配送,出荷誤配送が発生し対応を実施。追加工数が発生。,センサー汚れ,センサー清掃頻度増加,書籍,D製薬,製本;物流;検査,Low,物流課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"製本,物流,検査",センサーの汚れが原因で出荷時に誤配送が発生。対策としてセンサーの清掃頻度を増やして再発防止を図る。,2,8-24h
8,2025/04/08,紙粉多発,紙粉多発が発生し対応を実施。追加工数が発生。,外注ミス,センサー清掃頻度増加,カタログ,B食品,データ,High,物流課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"紙粉,外注,清掃,センサー,データ",外注ミスにより紙粉が多発。対策としてセンサーの清掃頻度を増やし再発抑制を図る。,4,～8h
9,2025/06/24,版材キズ,版材キズが発生し対応を実施。追加工数が発生。,設定ミス,材料受入強化,チラシ,H化粧品,データ,Medium,工程管理課,36,現場からのヒアリング情報を基に要因をナレッジ化予定。,24-72h,データ,設定ミスにより版材にキズが発生し追加工数が発生。材料受入の強化で再発防止を図る。,3,24-72h
10,2025/07/14,給紙二重送り,給紙二重送りが発生し対応を実施。追加工数が発生。,外注ミス,排気改善,パッケージ箱,B食品,製本,High,物流課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"給紙,外注,排気,製本",外注工程のミスにより給紙で二重送りが発生し追加工数が発生。排気を改善して再発防止を図る。,4,～8h
11,2025/08/20,油圧低下,油圧低下が発生し対応を実施。追加工数が発生。,人的ミス,排気改善,POP,B食品,異物,Low,設備保全部,2,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,異物,人的ミスにより油圧が低下。排気改善で対応し、再発防止を図る。,2,～8h
12,2025/08/01,PP剥がれ,PP剥がれが発生し対応を実施。追加工数が発生。,人的ミス,センサー清掃頻度増加,パッケージ箱,B食品,工程;後加工,Medium,工程管理課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"後加工,工程",PP剥がれが人的ミスにより発生。対策としてセンサー清掃頻度を増やして再発防止を図る。,3,～8h
13,2025/05/03,異物混入疑い,異物混入疑いが発生し対応を実施。追加工数が発生。,要因解析中,IoT監視強化,名刺,A商事,環境;物流;品質,Critical,工程管理課,8,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"環境,物流,品質",異物混入の疑いが発生し原因は解析中。暫定対策としてIoT監視を強化して対応し、追加工数が発生。,5,～8h
14,2025/08/09,バーコード読取不良,バーコード読取不良が発生し対応を実施。追加工数が発生。,人的ミス,排気改善,冊子,F出版社,品質;工程,High,資材課,8,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"品質,工程",バーコード読取不良は人的ミスが原因。排気改善を実施し、再発防止と作業効率の回復を図る。,4,～8h
